time_s,x,y,kappa_1_per_m,d0_kappa,supersaturation,residual,v_n_m_per_s
0,0.000198254,6.76892e-05,3283.06,3.33754e-06,1.91626e-15,-3.33754e-06,-4.63317e-12
0,9.88671e-05,7.87574e-05,-4923.84,-5.00555e-06,1.91626e-15,5.00555e-06,6.9487e-12
0,0.000198301,6.8136e-05,3282.67,3.33714e-06,1.91626e-15,-3.33714e-06,-4.63262e-12
0,9.88983e-05,7.90554e-05,-4923.5,-5.0052e-06,1.91626e-15,5.0052e-06,6.94822e-12
0,0.000198348,6.85831e-05,3282.08,3.33654e-06,1.91626e-15,-3.33654e-06,-4.63179e-12
0,9.89291e-05,7.93536e-05,-4923.02,-5.00472e-06,1.91626e-15,5.00472e-06,6.94754e-12
0,0.000198395,6.90302e-05,3281.29,3.33575e-06,1.91626e-15,-3.33575e-06,-4.63068e-12
0,9.89597e-05,7.96518e-05,-4922.42,-5.0041e-06,1.91626e-15,5.0041e-06,6.94669e-12
0,0.000198442,6.94775e-05,3280.33,3.33476e-06,1.91626e-15,-3.33476e-06,-4.62931e-12
0,9.89901e-05,7.99502e-05,-4921.69,-5.00337e-06,1.91626e-15,5.00337e-06,6.94567e-12
0,0.000198485,6.98872e-05,3279.29,3.33371e-06,1.91626e-15,-3.33371e-06,-4.62785e-12
0,0.000198489,6.9925e-05,3279.39,3.33381e-06,1.91626e-15,-3.33381e-06,-4.62799e-12
0,9.90204e-05,8.02487e-05,-4920.85,-5.00251e-06,1.91626e-15,5.00251e-06,6.94448e-12
0,0.000198535,7.03727e-05,3280.54,3.33498e-06,1.91626e-15,-3.33498e-06,-4.62961e-12
0,9.90504e-05,8.05473e-05,-4919.9,-5.00154e-06,1.91626e-15,5.00154e-06,6.94313e-12
0,0.00019858,7.08206e-05,3281.49,3.33595e-06,1.91626e-15,-3.33595e-06,-4.63096e-12
0,9.90803e-05,8.08461e-05,-4918.83,-5.00046e-06,1.91626e-15,5.00046e-06,6.94163e-12
0,0.000198623,7.12688e-05,3282.26,3.33673e-06,1.91626e-15,-3.33673e-06,-4.63204e-12
0,9.90909e-05,8.0953e-05,-4918.44,-5.00006e-06,1.91626e-15,5.00006e-06,6.94108e-12
0,9.91099e-05,8.11449e-05,-4919.2,-5.00083e-06,1.91626e-15,5.00083e-06,6.94215e-12
0,0.000198666,7.17172e-05,3282.85,3.33733e-06,1.91626e-15,-3.33733e-06,-4.63287e-12
0,9.91388e-05,8.14439e-05,-4920.29,-5.00194e-06,1.91626e-15,5.00194e-06,6.94368e-12
0,0.000198708,7.21659e-05,3283.27,3.33775e-06,1.91626e-15,-3.33775e-06,-4.63346e-12
0,9.9167e-05,8.1743e-05,-4921.25,-5.00292e-06,1.91626e-15,5.00292e-06,6.94505e-12
0,0.000198748,7.26147e-05,3283.52,3.33801e-06,1.91626e-15,-3.33801e-06,-4.63383e-12
0,9.91945e-05,8.20423e-05,-4922.1,-5.00378e-06,1.91626e-15,5.00378e-06,6.94625e-12
0,0.000198788,7.30638e-05,3283.63,3.33812e-06,1.91626e-15,-3.33812e-06,-4.63397e-12
0,9.92214e-05,8.23417e-05,-4922.84,-5.00454e-06,1.91626e-15,5.00454e-06,6.94729e-12
0,0.000198828,7.3513e-05,3283.58,3.33807e-06,1.91626e-15,-3.33807e-06,-4.63391e-12
0,9.92476e-05,8.26413e-05,-4923.48,-5.00518e-06,1.91626e-15,5.00518e-06,6.94819e-12
0,0.000198866,7.39624e-05,3283.4,3.33788e-06,1.91626e-15,-3.33788e-06,-4.63365e-12
0,9.92733e-05,8.2941e-05,-4924.01,-5.00572e-06,1.91626e-15,5.00572e-06,6.94894e-12
0,0.000198905,7.44119e-05,3283.08,3.33756e-06,1.91626e-15,-3.33756e-06,-4.6332e-12
0,9.92984e-05,8.32408e-05,-4924.45,-5.00617e-06,1.91626e-15,5.00617e-06,6.94956e-12
0,0.000198943,7.48617e-05,3282.63,3.33711e-06,1.91626e-15,-3.33711e-06,-4.63257e-12
0,9.9323e-05,8.35408e-05,-4924.8,-5.00652e-06,1.91626e-15,5.00652e-06,6.95005e-12
