# gamma_ia,gamma_is,gamma_as = 0.109,0.2455,0.3   theta_young = 60.0000 deg   (Young from gamma_is/gamma_as)
# theta_inf = 60.3622 +/- 0.0432 deg, tau = 1.222207e+06 s, fit_rms = 0.01483, n = 36, error_inf = +0.3622 deg
step,time_s,meniscus,y_wall,theta_deg,theta_plate_deg,R_arc_m,x_contact_m,n_points,theta_young_deg,error_deg
956,1.801330e+06,left,0.000000e+00,82.9741,82.9741,4.094239e-04,7.968890e-05,210,60.0000,22.9741
956,1.801330e+06,left,1.000000e-04,82.9967,82.9967,4.094239e-04,7.970863e-05,210,60.0000,22.9967
956,1.801330e+06,right,0.000000e+00,82.9741,82.9741,4.094239e-04,2.203111e-04,210,60.0000,22.9741
956,1.801330e+06,right,1.000000e-04,82.9967,82.9967,4.094239e-04,2.202914e-04,210,60.0000,22.9967
978,1.845330e+06,left,0.000000e+00,82.1778,82.1778,3.678911e-04,7.943483e-05,210,60.0000,22.1778
978,1.845330e+06,left,1.000000e-04,82.1997,82.1997,3.678911e-04,7.945391e-05,210,60.0000,22.1997
978,1.845330e+06,right,0.000000e+00,82.1778,82.1778,3.678911e-04,2.205652e-04,210,60.0000,22.1778
978,1.845330e+06,right,1.000000e-04,82.1997,82.1997,3.678911e-04,2.205461e-04,210,60.0000,22.1997
1000,1.889330e+06,left,0.000000e+00,81.4102,81.4102,3.351740e-04,7.918952e-05,210,60.0000,21.4102
1000,1.889330e+06,left,1.000000e-04,81.4314,81.4314,3.351740e-04,7.920797e-05,210,60.0000,21.4314
1000,1.889330e+06,right,0.000000e+00,81.4102,81.4102,3.351740e-04,2.208105e-04,210,60.0000,21.4102
1000,1.889330e+06,right,1.000000e-04,81.4314,81.4314,3.351740e-04,2.207920e-04,210,60.0000,21.4314
1022,1.933330e+06,left,0.000000e+00,80.6697,80.6697,3.087370e-04,7.895247e-05,210,60.0000,20.6697
1022,1.933330e+06,left,1.000000e-04,80.6901,80.6901,3.087370e-04,7.897031e-05,210,60.0000,20.6901
1022,1.933330e+06,right,0.000000e+00,80.6697,80.6697,3.087370e-04,2.210475e-04,210,60.0000,20.6697
1022,1.933330e+06,right,1.000000e-04,80.6901,80.6901,3.087370e-04,2.210297e-04,210,60.0000,20.6901
1044,1.977330e+06,left,0.000000e+00,79.9548,79.9548,2.869352e-04,7.872326e-05,210,60.0000,19.9548
1044,1.977330e+06,left,1.000000e-04,79.9746,79.9746,2.869352e-04,7.874051e-05,210,60.0000,19.9746
1044,1.977330e+06,right,0.000000e+00,79.9548,79.9548,2.869352e-04,2.212767e-04,210,60.0000,19.9548
1044,1.977330e+06,right,1.000000e-04,79.9746,79.9746,2.869352e-04,2.212595e-04,210,60.0000,19.9746
1066,2.021330e+06,left,0.000000e+00,79.2631,79.2631,2.686211e-04,7.850113e-05,210,60.0000,19.2631
1066,2.021330e+06,left,1.000000e-04,79.2822,79.2822,2.686211e-04,7.851781e-05,210,60.0000,19.2822
1066,2.021330e+06,right,0.000000e+00,79.2631,79.2631,2.686211e-04,2.214989e-04,210,60.0000,19.2631
1066,2.021330e+06,right,1.000000e-04,79.2822,79.2822,2.686211e-04,2.214822e-04,210,60.0000,19.2822
1088,2.065330e+06,left,0.000000e+00,78.5929,78.5929,2.530084e-04,7.828557e-05,210,60.0000,18.5929
1088,2.065330e+06,left,1.000000e-04,78.6113,78.6113,2.530084e-04,7.830166e-05,210,60.0000,18.6113
1088,2.065330e+06,right,0.000000e+00,78.5929,78.5929,2.530084e-04,2.217144e-04,210,60.0000,18.5929
1088,2.065330e+06,right,1.000000e-04,78.6113,78.6113,2.530084e-04,2.216983e-04,210,60.0000,18.6113
1110,2.109330e+06,left,0.000000e+00,77.9461,77.9461,2.396011e-04,7.807719e-05,210,60.0000,17.9461
1110,2.109330e+06,left,1.000000e-04,77.9639,77.9639,2.396011e-04,7.809272e-05,210,60.0000,17.9639
1110,2.109330e+06,right,0.000000e+00,77.9461,77.9461,2.396011e-04,2.219228e-04,210,60.0000,17.9461
1110,2.109330e+06,right,1.000000e-04,77.9639,77.9639,2.396011e-04,2.219073e-04,210,60.0000,17.9639
1132,2.153330e+06,left,0.000000e+00,77.3222,77.3222,2.279758e-04,7.787584e-05,210,60.0000,17.3222
1132,2.153330e+06,left,1.000000e-04,77.3394,77.3394,2.279758e-04,7.789081e-05,210,60.0000,17.3394
1132,2.153330e+06,right,0.000000e+00,77.3222,77.3222,2.279758e-04,2.221242e-04,210,60.0000,17.3222
1132,2.153330e+06,right,1.000000e-04,77.3394,77.3394,2.279758e-04,2.221092e-04,210,60.0000,17.3394
1154,2.197330e+06,left,0.000000e+00,76.7203,76.7203,2.178037e-04,7.768119e-05,210,60.0000,16.7203
1154,2.197330e+06,left,1.000000e-04,76.7368,76.7368,2.178037e-04,7.769563e-05,210,60.0000,16.7368
1154,2.197330e+06,right,0.000000e+00,76.7203,76.7203,2.178037e-04,2.223188e-04,210,60.0000,16.7203
1154,2.197330e+06,right,1.000000e-04,76.7368,76.7368,2.178037e-04,2.223044e-04,210,60.0000,16.7368
1176,2.241330e+06,left,0.000000e+00,76.1394,76.1394,2.088331e-04,7.749299e-05,210,60.0000,16.1394
1176,2.241330e+06,left,1.000000e-04,76.1553,76.1553,2.088331e-04,7.750692e-05,210,60.0000,16.1553
1176,2.241330e+06,right,0.000000e+00,76.1394,76.1394,2.088331e-04,2.225070e-04,210,60.0000,16.1394
1176,2.241330e+06,right,1.000000e-04,76.1553,76.1553,2.088331e-04,2.224931e-04,210,60.0000,16.1553
1198,2.285330e+06,left,0.000000e+00,75.5786,75.5786,2.008659e-04,7.731096e-05,210,60.0000,15.5786
1198,2.285330e+06,left,1.000000e-04,75.5939,75.5939,2.008659e-04,7.732439e-05,210,60.0000,15.5939
1198,2.285330e+06,right,0.000000e+00,75.5786,75.5786,2.008659e-04,2.226890e-04,210,60.0000,15.5786
1198,2.285330e+06,right,1.000000e-04,75.5939,75.5939,2.008659e-04,2.226756e-04,210,60.0000,15.5939
1220,2.329330e+06,left,0.000000e+00,75.0378,75.0378,1.937561e-04,7.713511e-05,210,60.0000,15.0378
1220,2.329330e+06,left,1.000000e-04,75.0526,75.0526,1.937561e-04,7.714806e-05,210,60.0000,15.0526
1220,2.329330e+06,right,0.000000e+00,75.0378,75.0378,1.937561e-04,2.228649e-04,210,60.0000,15.0378
1220,2.329330e+06,right,1.000000e-04,75.0526,75.0526,1.937561e-04,2.228519e-04,210,60.0000,15.0526
